Project,Bug Id,Number of buggy methods,Stack Trace (ST) size,Position of the first buggy method into the ST,Precision ST Top 10,Recall ST Top 10,F1 ST Top 10,Number of fake failing tests modifiedOchiai1.0,Number of fake passing tests modifiedOchiai1.0,Position of the first buggy method into the modifiedOchiai1.0,Precision modifiedOchiai1.0 Top 10,Recall modifiedOchiai1.0 Top 10,F1 modifiedOchiai1.0 Top 10,Number of fake failing tests modifiedOchiai1.1,Number of fake passing tests modifiedOchiai1.1,Position of the first buggy method into the modifiedOchiai1.1,Precision modifiedOchiai1.1 Top 10,Recall modifiedOchiai1.1 Top 10,F1 modifiedOchiai1.1 Top 10,Number of fake failing tests modifiedOchiai2.0,Number of fake passing tests modifiedOchiai2.0,Position of the first buggy method into the modifiedOchiai2.0,Precision modifiedOchiai2.0 Top 10,Recall modifiedOchiai2.0 Top 10,F1 modifiedOchiai2.0 Top 10,Number of fake failing tests modifiedOchiai2.1,Number of fake passing tests modifiedOchiai2.1,Position of the first buggy method into the modifiedOchiai2.1,Precision modifiedOchiai2.1 Top 10,Recall modifiedOchiai2.1 Top 10,F1 modifiedOchiai2.1 Top 10,Number of fake failing tests modifiedOchiai2.2,Number of fake passing tests modifiedOchiai2.2,Position of the first buggy method into the modifiedOchiai2.2,Precision modifiedOchiai2.2 Top 10,Recall modifiedOchiai2.2 Top 10,F1 modifiedOchiai2.2 Top 10,Number of fake failing tests modifiedOchiai3.0,Number of fake passing tests modifiedOchiai3.0,Position of the first buggy method into the modifiedOchiai3.0,Precision modifiedOchiai3.0 Top 10,Recall modifiedOchiai3.0 Top 10,F1 modifiedOchiai3.0 Top 10,Number of fake failing tests modifiedOchiai3.1,Number of fake passing tests modifiedOchiai3.1,Position of the first buggy method into the modifiedOchiai3.1,Precision modifiedOchiai3.1 Top 10,Recall modifiedOchiai3.1 Top 10,F1 modifiedOchiai3.1 Top 10,Number of fake failing tests modifiedOchiai3.1.1,Number of fake passing tests modifiedOchiai3.1.1,Position of the first buggy method into the modifiedOchiai3.1.1,Precision modifiedOchiai3.1.1 Top 10,Recall modifiedOchiai3.1.1 Top 10,F1 modifiedOchiai3.1.1 Top 10,Number of fake failing tests modifiedOchiai3.1.2,Number of fake passing tests modifiedOchiai3.1.2,Position of the first buggy method into the modifiedOchiai3.1.2,Precision modifiedOchiai3.1.2 Top 10,Recall modifiedOchiai3.1.2 Top 10,F1 modifiedOchiai3.1.2 Top 10,Number of fake failing tests modifiedOchiai3.1.3,Number of fake passing tests modifiedOchiai3.1.3,Position of the first buggy method into the modifiedOchiai3.1.3,Precision modifiedOchiai3.1.3 Top 10,Recall modifiedOchiai3.1.3 Top 10,F1 modifiedOchiai3.1.3 Top 10,Number of fake failing tests modifiedOchiai3.1.4,Number of fake passing tests modifiedOchiai3.1.4,Position of the first buggy method into the modifiedOchiai3.1.4,Precision modifiedOchiai3.1.4 Top 10,Recall modifiedOchiai3.1.4 Top 10,F1 modifiedOchiai3.1.4 Top 10,Number of fake failing tests modifiedOchiai3.1.5,Number of fake passing tests modifiedOchiai3.1.5,Position of the first buggy method into the modifiedOchiai3.1.5,Precision modifiedOchiai3.1.5 Top 10,Recall modifiedOchiai3.1.5 Top 10,F1 modifiedOchiai3.1.5 Top 10,Number of fake failing tests modifiedOchiai3.1.6,Number of fake passing tests modifiedOchiai3.1.6,Position of the first buggy method into the modifiedOchiai3.1.6,Precision modifiedOchiai3.1.6 Top 10,Recall modifiedOchiai3.1.6 Top 10,F1 modifiedOchiai3.1.6 Top 10,Number of fake failing tests modifiedOchiai3.1.7,Number of fake passing tests modifiedOchiai3.1.7,Position of the first buggy method into the modifiedOchiai3.1.7,Precision modifiedOchiai3.1.7 Top 10,Recall modifiedOchiai3.1.7 Top 10,F1 modifiedOchiai3.1.7 Top 10,Number of fake failing tests modifiedOchiai3.1.7woST,Number of fake passing tests modifiedOchiai3.1.7woST,Position of the first buggy method into the modifiedOchiai3.1.7woST,Precision modifiedOchiai3.1.7woST Top 10,Recall modifiedOchiai3.1.7woST Top 10,F1 modifiedOchiai3.1.7woST Top 10,Number of fake failing tests modifiedOchiai3.2,Number of fake passing tests modifiedOchiai3.2,Position of the first buggy method into the modifiedOchiai3.2,Precision modifiedOchiai3.2 Top 10,Recall modifiedOchiai3.2 Top 10,F1 modifiedOchiai3.2 Top 10,Number of fake failing tests modifiedOchiai4.0,Number of fake passing tests modifiedOchiai4.0,Position of the first buggy method into the modifiedOchiai4.0,Precision modifiedOchiai4.0 Top 10,Recall modifiedOchiai4.0 Top 10,F1 modifiedOchiai4.0 Top 10,Number of fake failing tests modifiedOchiai4.1,Number of fake passing tests modifiedOchiai4.1,Position of the first buggy method into the modifiedOchiai4.1,Precision modifiedOchiai4.1 Top 10,Recall modifiedOchiai4.1 Top 10,F1 modifiedOchiai4.1 Top 10,Number of fake failing tests modifiedOchiai4.2,Number of fake passing tests modifiedOchiai4.2,Position of the first buggy method into the modifiedOchiai4.2,Precision modifiedOchiai4.2 Top 10,Recall modifiedOchiai4.2 Top 10,F1 modifiedOchiai4.2 Top 10,Number of fake failing tests modifiedOchiai5.0,Number of fake passing tests modifiedOchiai5.0,Position of the first buggy method into the modifiedOchiai5.0,Precision modifiedOchiai5.0 Top 10,Recall modifiedOchiai5.0 Top 10,F1 modifiedOchiai5.0 Top 10,Number of fake failing tests modifiedOchiai5.1,Number of fake passing tests modifiedOchiai5.1,Position of the first buggy method into the modifiedOchiai5.1,Precision modifiedOchiai5.1 Top 10,Recall modifiedOchiai5.1 Top 10,F1 modifiedOchiai5.1 Top 10,Number of fake failing tests originalOchiai,Number of fake passing tests originalOchiai,Position of the first buggy method into the originalOchiai,Precision originalOchiai Top 10,Recall originalOchiai Top 10,F1 originalOchiai Top 10
Closure,37,2,13,2,0.1,0.5,0.16666666666666669,5925,1448,298,0.0,0.0,0.0,5925,1448,298,0.0,0.0,0.0,331,7042,1002,0.0,0.0,0.0,329,7044,1005,0.0,0.0,0.0,3,7370,263,0.0,0.0,0.0,3079,4294,349,0.0,0.0,0.0,10,7363,321,0.0,0.0,0.0,10,7363,3,0.1,0.5,0.16666666666666669,10,7363,3,0.1,0.5,0.16666666666666669,10,7363,3,0.1,0.5,0.16666666666666669,15,7358,3,0.1,0.5,0.16666666666666669,5,7368,3,0.1,0.5,0.16666666666666669,20,7353,17,0.0,0.0,0.0,15,7358,3,0.1,0.5,0.16666666666666669,15,7358,572,0.0,0.0,0.0,10,7363,321,0.0,0.0,0.0,4908.75,2464.25,4,0.1,0.5,0.16666666666666669,4908.75,2464.25,4,0.1,0.5,0.16666666666666669,4609.777777777777,2763.222222222222,4,0.1,0.5,0.16666666666666669,6252,1121,298,0.0,0.0,0.0,6252,1121,2,0.1,0.5,0.16666666666666669,2,7371,317,0.0,0.0,0.0
Closure,125,2,40,9,0.1,0.5,0.16666666666666669,7805,351,1114,0.0,0.0,0.0,7805,351,1114,0.0,0.0,0.0,21,8135,1070,0.0,0.0,0.0,17,8139,1007,0.0,0.0,0.0,3,8153,7880,0.0,0.0,0.0,1,8155,7880,0.0,0.0,0.0,10,8146,7880,0.0,0.0,0.0,10,8146,736,0.0,0.0,0.0,10,8146,736,0.0,0.0,0.0,10,8146,736,0.0,0.0,0.0,15,8141,770,0.0,0.0,0.0,5,8151,554,0.0,0.0,0.0,20,8136,800,0.0,0.0,0.0,15,8141,772,0.0,0.0,0.0,15,8141,2439,0.0,0.0,0.0,10,8146,991,0.0,0.0,0.0,147.2,8008.8,2594,0.0,0.0,0.0,147.2,8008.8,2607,0.0,0.0,0.0,1014.125,7141.875,2203,0.0,0.0,0.0,7803,353,1114,0.0,0.0,0.0,7803,353,1116,0.0,0.0,0.0,4,8154,7880,0.0,0.0,0.0
Closure,152,2,24,8,0.1,0.5,0.16666666666666669,2444,3742,8,0.1,0.5,0.16666666666666669,2442,3744,8,0.1,0.5,0.16666666666666669,11,6175,1029,0.0,0.0,0.0,9,6177,932,0.0,0.0,0.0,3,6183,6019,0.0,0.0,0.0,43,6143,1947,0.0,0.0,0.0,10,6176,1531,0.0,0.0,0.0,10,6176,488,0.0,0.0,0.0,10,6176,488,0.0,0.0,0.0,10,6176,488,0.0,0.0,0.0,15,6171,660,0.0,0.0,0.0,5,6181,441,0.0,0.0,0.0,20,6166,644,0.0,0.0,0.0,15,6171,661,0.0,0.0,0.0,15,6171,2006,0.0,0.0,0.0,10,6176,1051,0.0,0.0,0.0,83.5,6102.5,1967,0.0,0.0,0.0,83.5,6102.5,1912,0.0,0.0,0.0,391.2857142857143,5794.714285714285,1356,0.0,0.0,0.0,2439,3747,8,0.1,0.5,0.16666666666666669,2439,3747,1,0.1,0.5,0.16666666666666669,2,6184,6019,0.0,0.0,0.0
Closure,2,1,58,1,0.1,1.0,0.18181818181818182,6625,1205,4408,0.0,0.0,0.0,6625,1205,4408,0.0,0.0,0.0,88,7742,7690,0.0,0.0,0.0,85,7745,7690,0.0,0.0,0.0,3,7827,1,0.1,1.0,0.18181818181818182,1,7829,7690,0.0,0.0,0.0,10,7820,7690,0.0,0.0,0.0,10,7820,1,0.1,1.0,0.18181818181818182,10,7820,1,0.1,1.0,0.18181818181818182,10,7820,1,0.1,1.0,0.18181818181818182,15,7815,1,0.1,1.0,0.18181818181818182,5,7825,1,0.1,1.0,0.18181818181818182,20,7810,1,0.1,1.0,0.18181818181818182,15,7815,1,0.1,1.0,0.18181818181818182,15,7815,7690,0.0,0.0,0.0,10,7820,7690,0.0,0.0,0.0,2187.2,5642.8,1,0.1,1.0,0.18181818181818182,2187.2,5642.8,1055,0.0,0.0,0.0,2631.8888888888887,5198.111111111111,1132,0.0,0.0,0.0,2784,5046,3239,0.0,0.0,0.0,2784,5046,4,0.1,1.0,0.18181818181818182,3,7828,7690,0.0,0.0,0.0
Closure,34,2,13,not found,0.0,0.0,0.0,370,7043,1160,0.0,0.0,0.0,368,7045,1165,0.0,0.0,0.0,77,7336,1218,0.0,0.0,0.0,75,7338,1216,0.0,0.0,0.0,3,7410,966,0.0,0.0,0.0,2,7411,964,0.0,0.0,0.0,10,7403,1114,0.0,0.0,0.0,10,7403,1117,0.0,0.0,0.0,10,7403,1117,0.0,0.0,0.0,10,7403,1117,0.0,0.0,0.0,15,7398,1173,0.0,0.0,0.0,5,7408,969,0.0,0.0,0.0,20,7393,1355,0.0,0.0,0.0,15,7398,1173,0.0,0.0,0.0,15,7398,1170,0.0,0.0,0.0,10,7403,1114,0.0,0.0,0.0,190.4,7222.6,1139,0.0,0.0,0.0,190.4,7222.6,1034,0.0,0.0,0.0,211.66666666666666,7201.333333333333,1044,0.0,0.0,0.0,89,7324,1295,0.0,0.0,0.0,89,7324,1297,0.0,0.0,0.0,2,7411,255,0.0,0.0,0.0
Closure,55,1,32,not found,0.0,0.0,0.0,3525,3630,not found,0.0,0.0,0.0,3525,3630,not found,0.0,0.0,0.0,5,7150,not found,0.0,0.0,0.0,3,7152,not found,0.0,0.0,0.0,3,7152,not found,0.0,0.0,0.0,72,7083,not found,0.0,0.0,0.0,10,7145,not found,0.0,0.0,0.0,10,7145,not found,0.0,0.0,0.0,10,7145,not found,0.0,0.0,0.0,10,7145,not found,0.0,0.0,0.0,15,7140,not found,0.0,0.0,0.0,5,7150,not found,0.0,0.0,0.0,20,7135,not found,0.0,0.0,0.0,15,7140,not found,0.0,0.0,0.0,15,7140,not found,0.0,0.0,0.0,10,7145,not found,0.0,0.0,0.0,144.4,7010.6,not found,0.0,0.0,0.0,144.4,7010.6,not found,0.0,0.0,0.0,101.25,7053.75,not found,0.0,0.0,0.0,3524,3631,not found,0.0,0.0,0.0,3524,3631,not found,0.0,0.0,0.0,2,7153,not found,0.0,0.0,0.0
Closure,143,14,0,not found,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4614,520,0.0,0.0,0.0
Closure,106,2,2,not found,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2552,4523,0.0,0.0,0.0
Compress,17,1,3,1,0.1,1.0,0.18181818181818182,33,317,1,0.1,1.0,0.18181818181818182,33,317,1,0.1,1.0,0.18181818181818182,33,317,1,0.1,1.0,0.18181818181818182,33,317,1,0.1,1.0,0.18181818181818182,3,347,20,0.0,0.0,0.0,1,349,953,0.0,0.0,0.0,10,340,7,0.1,1.0,0.18181818181818182,10,340,1,0.1,1.0,0.18181818181818182,10,340,1,0.1,1.0,0.18181818181818182,10,340,1,0.1,1.0,0.18181818181818182,15,335,1,0.1,1.0,0.18181818181818182,5,345,1,0.1,1.0,0.18181818181818182,20,330,1,0.1,1.0,0.18181818181818182,15,335,1,0.1,1.0,0.18181818181818182,15,335,2,0.1,1.0,0.18181818181818182,10,340,7,0.1,1.0,0.18181818181818182,1.0,349.0,953,0.0,0.0,0.0,1.0,349.0,953,0.0,0.0,0.0,1.0,349.0,953,0.0,0.0,0.0,,,,,,,0,350,2,0.1,1.0,0.18181818181818182,,,,,,
Compress,27,1,8,3,0.1,1.0,0.18181818181818182,20,992,13,0.0,0.0,0.0,18,994,9,0.1,1.0,0.18181818181818182,88,924,15,0.0,0.0,0.0,86,926,15,0.0,0.0,0.0,6,1006,24,0.0,0.0,0.0,4,1008,29,0.0,0.0,0.0,20,992,24,0.0,0.0,0.0,20,992,3,0.1,1.0,0.18181818181818182,20,992,3,0.1,1.0,0.18181818181818182,20,992,3,0.1,1.0,0.18181818181818182,30,982,3,0.1,1.0,0.18181818181818182,10,1002,4,0.1,1.0,0.18181818181818182,40,972,3,0.1,1.0,0.18181818181818182,30,982,3,0.1,1.0,0.18181818181818182,30,982,20,0.0,0.0,0.0,20,992,24,0.0,0.0,0.0,26.5,985.5,14,0.0,0.0,0.0,26.5,985.5,13,0.0,0.0,0.0,32.333333333333336,979.6666666666666,13,0.0,0.0,0.0,94,918,11,0.0,0.0,0.0,94,918,3,0.1,1.0,0.18181818181818182,1,1009,1359,0.0,0.0,0.0
Compress,1,5,3,not found,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1,68,56,0.0,0.0,0.0,1.0,68.0,56,0.0,0.0,0.0,1.0,68.0,56,0.0,0.0,0.0,1.0,68.0,56,0.0,0.0,0.0,,,,,,,0,69,not found,0.0,0.0,0.0,,,,,,
Compress,12,1,29,4,0.1,1.0,0.18181818181818182,11,304,13,0.0,0.0,0.0,11,304,13,0.0,0.0,0.0,11,304,12,0.0,0.0,0.0,11,304,12,0.0,0.0,0.0,3,312,17,0.0,0.0,0.0,1,314,41,0.0,0.0,0.0,10,305,12,0.0,0.0,0.0,10,305,3,0.1,1.0,0.18181818181818182,10,305,3,0.1,1.0,0.18181818181818182,10,305,3,0.1,1.0,0.18181818181818182,15,300,3,0.1,1.0,0.18181818181818182,5,310,4,0.1,1.0,0.18181818181818182,20,295,3,0.1,1.0,0.18181818181818182,15,300,3,0.1,1.0,0.18181818181818182,15,300,10,0.1,1.0,0.18181818181818182,10,305,13,0.0,0.0,0.0,3.75,311.25,22,0.0,0.0,0.0,3.75,311.25,15,0.0,0.0,0.0,3.75,311.25,17,0.0,0.0,0.0,20,295,10,0.1,1.0,0.18181818181818182,20,295,3,0.1,1.0,0.18181818181818182,,,,,,
Compress,32,1,6,4,0.1,1.0,0.18181818181818182,48,565,1485,0.0,0.0,0.0,47,566,1485,0.0,0.0,0.0,23,590,2,0.1,1.0,0.18181818181818182,22,591,2,0.1,1.0,0.18181818181818182,3,610,2,0.1,1.0,0.18181818181818182,2,611,3,0.1,1.0,0.18181818181818182,10,603,2,0.1,1.0,0.18181818181818182,10,603,2,0.1,1.0,0.18181818181818182,10,603,2,0.1,1.0,0.18181818181818182,10,603,2,0.1,1.0,0.18181818181818182,15,598,1,0.1,1.0,0.18181818181818182,5,608,3,0.1,1.0,0.18181818181818182,20,593,1,0.1,1.0,0.18181818181818182,15,598,1,0.1,1.0,0.18181818181818182,15,598,2,0.1,1.0,0.18181818181818182,10,603,2,0.1,1.0,0.18181818181818182,12.0,601.0,2,0.1,1.0,0.18181818181818182,12.0,601.0,2,0.1,1.0,0.18181818181818182,8.333333333333334,604.6666666666666,2,0.1,1.0,0.18181818181818182,,,,,,,0,613,21,0.0,0.0,0.0,1,610,1485,0.0,0.0,0.0
Compress,24,1,6,1,0.1,1.0,0.18181818181818182,21,914,13,0.0,0.0,0.0,18,917,9,0.1,1.0,0.18181818181818182,87,848,15,0.0,0.0,0.0,84,851,15,0.0,0.0,0.0,6,929,17,0.0,0.0,0.0,6,929,17,0.0,0.0,0.0,20,915,16,0.0,0.0,0.0,20,915,1,0.1,1.0,0.18181818181818182,20,915,1,0.1,1.0,0.18181818181818182,20,915,1,0.1,1.0,0.18181818181818182,30,905,1,0.1,1.0,0.18181818181818182,10,925,1,0.1,1.0,0.18181818181818182,40,895,1,0.1,1.0,0.18181818181818182,30,905,1,0.1,1.0,0.18181818181818182,30,905,14,0.0,0.0,0.0,20,915,21,0.0,0.0,0.0,46.5,888.5,14,0.0,0.0,0.0,46.5,888.5,14,0.0,0.0,0.0,37.6,897.4,13,0.0,0.0,0.0,92,843,11,0.0,0.0,0.0,92,843,1,0.1,1.0,0.18181818181818182,2,932,1321,0.0,0.0,0.0
