Compress,34,3,15,2,0.1,0.3333333333333333,0.15384615384615383,194,1034,436,0.0,0.0,0.0,192,1036,434,0.0,0.0,0.0,14,1214,1,0.1,0.3333333333333333,0.15384615384615383,14,1214,1,0.1,0.3333333333333333,0.15384615384615383,6,1222,1,0.1,0.3333333333333333,0.15384615384615383,14,1214,1,0.1,0.3333333333333333,0.15384615384615383,20,1208,1,0.1,0.3333333333333333,0.15384615384615383,20,1208,2,0.1,0.3333333333333333,0.15384615384615383,20,1208,2,0.1,0.3333333333333333,0.15384615384615383,20,1208,2,0.1,0.3333333333333333,0.15384615384615383,30,1198,2,0.1,0.3333333333333333,0.15384615384615383,10,1218,2,0.1,0.3333333333333333,0.15384615384615383,40,1188,2,0.1,0.3333333333333333,0.15384615384615383,30,1198,2,0.1,0.3333333333333333,0.15384615384615383,30,1198,3,0.1,0.3333333333333333,0.15384615384615383,20,1208,1,0.1,0.3333333333333333,0.15384615384615383,36.8,1191.2,1,0.1,0.3333333333333333,0.15384615384615383,36.8,1191.2,1,0.1,0.3333333333333333,0.15384615384615383,47.0,1181.0,1,0.1,0.3333333333333333,0.15384615384615383,114,1114,127,0.0,0.0,0.0,114,1114,20,0.0,0.0,0.0,1,1225,4,0.1,0.3333333333333333,0.15384615384615383
Compress,18,1,19,2,0.1,1.0,0.18181818181818182,18,333,953,0.0,0.0,0.0,18,333,953,0.0,0.0,0.0,8,343,2,0.1,1.0,0.18181818181818182,8,343,2,0.1,1.0,0.18181818181818182,3,348,8,0.1,1.0,0.18181818181818182,1,350,6,0.1,1.0,0.18181818181818182,10,341,3,0.1,1.0,0.18181818181818182,10,341,2,0.1,1.0,0.18181818181818182,10,341,2,0.1,1.0,0.18181818181818182,10,341,2,0.1,1.0,0.18181818181818182,15,336,2,0.1,1.0,0.18181818181818182,5,346,2,0.1,1.0,0.18181818181818182,20,331,4,0.1,1.0,0.18181818181818182,15,336,3,0.1,1.0,0.18181818181818182,15,336,19,0.0,0.0,0.0,10,341,3,0.1,1.0,0.18181818181818182,4.0,347.0,3,0.1,1.0,0.18181818181818182,4.0,347.0,3,0.1,1.0,0.18181818181818182,4.0,347.0,3,0.1,1.0,0.18181818181818182,8,343,2,0.1,1.0,0.18181818181818182,8,343,2,0.1,1.0,0.18181818181818182,,,,,,
Compress,14,1,32,29,0.0,0.0,0.0,4,313,3,0.1,1.0,0.18181818181818182,4,313,3,0.1,1.0,0.18181818181818182,20,297,13,0.0,0.0,0.0,20,297,13,0.0,0.0,0.0,3,314,21,0.0,0.0,0.0,2,315,55,0.0,0.0,0.0,10,307,15,0.0,0.0,0.0,10,307,12,0.0,0.0,0.0,10,307,12,0.0,0.0,0.0,10,307,12,0.0,0.0,0.0,15,302,11,0.0,0.0,0.0,5,312,12,0.0,0.0,0.0,20,297,11,0.0,0.0,0.0,15,302,3,0.1,1.0,0.18181818181818182,15,302,13,0.0,0.0,0.0,10,307,15,0.0,0.0,0.0,2.0,315.0,55,0.0,0.0,0.0,2.0,315.0,55,0.0,0.0,0.0,2.0,315.0,55,0.0,0.0,0.0,21,296,13,0.0,0.0,0.0,21,296,11,0.0,0.0,0.0,,,,,,
Compress,23,1,7,1,0.1,1.0,0.18181818181818182,24,442,not found,0.0,0.0,0.0,23,443,not found,0.0,0.0,0.0,5,461,not found,0.0,0.0,0.0,4,462,not found,0.0,0.0,0.0,3,463,not found,0.0,0.0,0.0,3,463,not found,0.0,0.0,0.0,10,456,not found,0.0,0.0,0.0,10,456,not found,0.0,0.0,0.0,10,456,not found,0.0,0.0,0.0,10,456,not found,0.0,0.0,0.0,15,451,not found,0.0,0.0,0.0,5,461,not found,0.0,0.0,0.0,20,446,not found,0.0,0.0,0.0,15,451,2,0.1,1.0,0.18181818181818182,15,451,not found,0.0,0.0,0.0,10,456,not found,0.0,0.0,0.0,7.333333333333333,458.6666666666667,not found,0.0,0.0,0.0,7.333333333333333,458.6666666666667,not found,0.0,0.0,0.0,7.333333333333333,458.6666666666667,not found,0.0,0.0,0.0,16,450,not found,0.0,0.0,0.0,16,450,not found,0.0,0.0,0.0,1,463,not found,0.0,0.0,0.0
Compress,31,1,62,not found,0.0,0.0,0.0,2,1104,1471,0.0,0.0,0.0,,,,,,,94,1012,15,0.0,0.0,0.0,92,1014,15,0.0,0.0,0.0,6,1100,36,0.0,0.0,0.0,2,1104,27,0.0,0.0,0.0,20,1086,23,0.0,0.0,0.0,20,1086,24,0.0,0.0,0.0,20,1086,24,0.0,0.0,0.0,20,1086,24,0.0,0.0,0.0,30,1076,23,0.0,0.0,0.0,10,1096,27,0.0,0.0,0.0,40,1066,21,0.0,0.0,0.0,30,1076,23,0.0,0.0,0.0,30,1076,23,0.0,0.0,0.0,20,1086,23,0.0,0.0,0.0,2.0,1104.0,27,0.0,0.0,0.0,2.0,1104.0,27,0.0,0.0,0.0,2.0,1104.0,27,0.0,0.0,0.0,92,1014,15,0.0,0.0,0.0,92,1014,15,0.0,0.0,0.0,1,1103,1471,0.0,0.0,0.0
JacksonCore,7,23,18,not found,0.0,0.0,0.0,1,260,51,0.0,0.0,0.0,1,260,51,0.0,0.0,0.0,1,260,51,0.0,0.0,0.0,1,260,51,0.0,0.0,0.0,1,260,51,0.0,0.0,0.0,1,260,51,0.0,0.0,0.0,1,260,51,0.0,0.0,0.0,1,260,56,0.0,0.0,0.0,1,260,56,0.0,0.0,0.0,1,260,56,0.0,0.0,0.0,1,260,56,0.0,0.0,0.0,1,260,56,0.0,0.0,0.0,1,260,56,0.0,0.0,0.0,1,260,56,0.0,0.0,0.0,1,260,51,0.0,0.0,0.0,1,260,51,0.0,0.0,0.0,1.0,260.0,51,0.0,0.0,0.0,1.0,260.0,51,0.0,0.0,0.0,1.0,260.0,51,0.0,0.0,0.0,,,,,,,0,261,309,0.0,0.0,0.0,,,,,,
JacksonCore,10,4,16,not found,0.0,0.0,0.0,119,211,11,0.0,0.0,0.0,119,211,11,0.0,0.0,0.0,31,299,8,0.1,0.25,0.14285714285714288,31,299,8,0.1,0.25,0.14285714285714288,3,327,25,0.0,0.0,0.0,1,329,21,0.0,0.0,0.0,10,320,13,0.0,0.0,0.0,10,320,15,0.0,0.0,0.0,10,320,15,0.0,0.0,0.0,10,320,15,0.0,0.0,0.0,15,315,13,0.0,0.0,0.0,5,325,21,0.0,0.0,0.0,20,310,12,0.0,0.0,0.0,15,315,13,0.0,0.0,0.0,15,315,11,0.0,0.0,0.0,10,320,13,0.0,0.0,0.0,3.75,326.25,10,0.1,0.25,0.14285714285714288,3.75,326.25,10,0.1,0.25,0.14285714285714288,4.142857142857143,325.85714285714283,10,0.1,0.25,0.14285714285714288,52,278,9,0.1,0.25,0.14285714285714288,52,278,10,0.1,0.25,0.14285714285714288,1,326,3,0.2,0.5,0.28571428571428575
JacksonCore,11,1,39,not found,0.0,0.0,0.0,63,271,4,0.1,1.0,0.18181818181818182,63,271,4,0.1,1.0,0.18181818181818182,6,328,22,0.0,0.0,0.0,6,328,22,0.0,0.0,0.0,3,331,25,0.0,0.0,0.0,1,333,19,0.0,0.0,0.0,10,324,17,0.0,0.0,0.0,10,324,19,0.0,0.0,0.0,10,324,19,0.0,0.0,0.0,10,324,19,0.0,0.0,0.0,15,319,17,0.0,0.0,0.0,5,329,25,0.0,0.0,0.0,20,314,12,0.0,0.0,0.0,15,319,17,0.0,0.0,0.0,15,319,14,0.0,0.0,0.0,10,324,18,0.0,0.0,0.0,2.6,331.4,16,0.0,0.0,0.0,2.6,331.4,19,0.0,0.0,0.0,2.125,331.875,21,0.0,0.0,0.0,51,283,8,0.1,1.0,0.18181818181818182,51,283,8,0.1,1.0,0.18181818181818182,,,,,,
JacksonCore,4,1,7,1,0.1,1.0,0.18181818181818182,106,133,1007,0.0,0.0,0.0,106,133,1007,0.0,0.0,0.0,24,215,1007,0.0,0.0,0.0,24,215,1007,0.0,0.0,0.0,3,236,1007,0.0,0.0,0.0,1,238,1007,0.0,0.0,0.0,10,229,1007,0.0,0.0,0.0,10,229,2,0.1,1.0,0.18181818181818182,10,229,2,0.1,1.0,0.18181818181818182,10,229,2,0.1,1.0,0.18181818181818182,15,224,2,0.1,1.0,0.18181818181818182,5,234,1,0.1,1.0,0.18181818181818182,20,219,2,0.1,1.0,0.18181818181818182,15,224,2,0.1,1.0,0.18181818181818182,15,224,1007,0.0,0.0,0.0,10,229,1007,0.0,0.0,0.0,4.333333333333333,234.66666666666666,1007,0.0,0.0,0.0,4.333333333333333,234.66666666666666,1007,0.0,0.0,0.0,3.5,235.5,1007,0.0,0.0,0.0,,,,,,,0,239,3,0.1,1.0,0.18181818181818182,1,235,1007,0.0,0.0,0.0
JacksonDatabind,37,2,45,not found,0.0,0.0,0.0,901,648,799,0.0,0.0,0.0,892,657,796,0.0,0.0,0.0,36,1513,1085,0.0,0.0,0.0,4,1545,4740,0.0,0.0,0.0,3,1546,4740,0.0,0.0,0.0,1,1548,4740,0.0,0.0,0.0,10,1539,4740,0.0,0.0,0.0,10,1539,4761,0.0,0.0,0.0,10,1539,4761,0.0,0.0,0.0,10,1539,4761,0.0,0.0,0.0,15,1534,4761,0.0,0.0,0.0,5,1544,4761,0.0,0.0,0.0,20,1529,4761,0.0,0.0,0.0,15,1534,4760,0.0,0.0,0.0,15,1534,4740,0.0,0.0,0.0,10,1539,351,0.0,0.0,0.0,8.8,1540.2,4740,0.0,0.0,0.0,8.8,1540.2,4740,0.0,0.0,0.0,7.6,1541.4,996,0.0,0.0,0.0,887,662,791,0.0,0.0,0.0,887,662,798,0.0,0.0,0.0,32,1544,1077,0.0,0.0,0.0
JacksonDatabind,28,2,11,4,0.2,1.0,0.33333333333333337,873,619,1137,0.0,0.0,0.0,858,634,1132,0.0,0.0,0.0,36,1456,1142,0.0,0.0,0.0,1,1491,2,0.1,0.5,0.16666666666666669,3,1489,8,0.1,0.5,0.16666666666666669,5,1487,3,0.1,0.5,0.16666666666666669,10,1482,26,0.0,0.0,0.0,10,1482,29,0.0,0.0,0.0,10,1482,29,0.0,0.0,0.0,10,1482,29,0.0,0.0,0.0,15,1477,14,0.0,0.0,0.0,5,1487,6,0.1,0.5,0.16666666666666669,20,1472,22,0.0,0.0,0.0,15,1477,2,0.1,0.5,0.16666666666666669,15,1477,11,0.0,0.0,0.0,10,1482,23,0.0,0.0,0.0,7.0,1485.0,21,0.0,0.0,0.0,7.0,1485.0,10,0.1,0.5,0.16666666666666669,84.88888888888889,1407.111111111111,13,0.0,0.0,0.0,789,703,1285,0.0,0.0,0.0,789,703,869,0.0,0.0,0.0,35,1487,1163,0.0,0.0,0.0
JacksonDatabind,32,3,9,not found,0.0,0.0,0.0,827,683,4613,0.0,0.0,0.0,814,696,4613,0.0,0.0,0.0,153,1357,4613,0.0,0.0,0.0,120,1390,4613,0.0,0.0,0.0,3,1507,4613,0.0,0.0,0.0,1,1509,4613,0.0,0.0,0.0,10,1500,4613,0.0,0.0,0.0,10,1500,4617,0.0,0.0,0.0,10,1500,4617,0.0,0.0,0.0,10,1500,4617,0.0,0.0,0.0,15,1495,4617,0.0,0.0,0.0,5,1505,4617,0.0,0.0,0.0,20,1490,4617,0.0,0.0,0.0,15,1495,4617,0.0,0.0,0.0,15,1495,4613,0.0,0.0,0.0,10,1500,4613,0.0,0.0,0.0,1.0,1509.0,4613,0.0,0.0,0.0,1.0,1509.0,4613,0.0,0.0,0.0,2.75,1507.25,4613,0.0,0.0,0.0,135,1375,4613,0.0,0.0,0.0,135,1375,4617,0.0,0.0,0.0,33,1505,4613,0.0,0.0,0.0
JacksonDatabind,73,2,23,not found,0.0,0.0,0.0,538,950,197,0.0,0.0,0.0,521,967,199,0.0,0.0,0.0,38,1450,347,0.0,0.0,0.0,3,1485,673,0.0,0.0,0.0,3,1485,264,0.0,0.0,0.0,16,1472,245,0.0,0.0,0.0,10,1478,182,0.0,0.0,0.0,10,1478,192,0.0,0.0,0.0,10,1478,192,0.0,0.0,0.0,10,1478,192,0.0,0.0,0.0,15,1473,253,0.0,0.0,0.0,5,1483,221,0.0,0.0,0.0,19,1469,249,0.0,0.0,0.0,15,1473,253,0.0,0.0,0.0,15,1473,244,0.0,0.0,0.0,10,1478,363,0.0,0.0,0.0,9.0,1479.0,246,0.0,0.0,0.0,9.0,1479.0,243,0.0,0.0,0.0,7.714285714285714,1480.2857142857142,258,0.0,0.0,0.0,83,1405,301,0.0,0.0,0.0,83,1405,303,0.0,0.0,0.0,35,1483,334,0.0,0.0,0.0
JacksonDatabind,25,8,17,not found,0.0,0.0,0.0,911,572,13,0.0,0.0,0.0,898,585,13,0.0,0.0,0.0,38,1445,48,0.0,0.0,0.0,6,1477,148,0.0,0.0,0.0,3,1480,173,0.0,0.0,0.0,1,1482,108,0.0,0.0,0.0,10,1473,84,0.0,0.0,0.0,10,1473,96,0.0,0.0,0.0,10,1473,96,0.0,0.0,0.0,10,1473,96,0.0,0.0,0.0,15,1468,86,0.0,0.0,0.0,5,1478,119,0.0,0.0,0.0,20,1463,79,0.0,0.0,0.0,15,1468,88,0.0,0.0,0.0,15,1468,76,0.0,0.0,0.0,10,1473,121,0.0,0.0,0.0,104.6,1378.4,42,0.0,0.0,0.0,104.6,1378.4,43,0.0,0.0,0.0,257.4,1225.6,68,0.0,0.0,0.0,903,580,13,0.0,0.0,0.0,903,580,20,0.0,0.0,0.0,32,1478,193,0.0,0.0,0.0
JacksonDatabind,3,2,5,1,0.1,0.5,0.16666666666666669,351,902,1937,0.0,0.0,0.0,336,917,1930,0.0,0.0,0.0,32,1221,9,0.1,0.5,0.16666666666666669,5,1248,3,0.1,0.5,0.16666666666666669,3,1250,1,0.1,0.5,0.16666666666666669,2,1251,1,0.1,0.5,0.16666666666666669,10,1243,3,0.1,0.5,0.16666666666666669,10,1243,1,0.1,0.5,0.16666666666666669,10,1243,1,0.1,0.5,0.16666666666666669,10,1243,1,0.1,0.5,0.16666666666666669,15,1238,1,0.1,0.5,0.16666666666666669,5,1248,1,0.2,1.0,0.33333333333333337,20,1233,1,0.1,0.5,0.16666666666666669,15,1238,1,0.1,0.5,0.16666666666666669,15,1238,3,0.1,0.5,0.16666666666666669,10,1243,3,0.1,0.5,0.16666666666666669,1.3333333333333333,1251.6666666666667,1,0.1,0.5,0.16666666666666669,1.3333333333333333,1251.6666666666667,1,0.1,0.5,0.16666666666666669,1.3333333333333333,1251.6666666666667,1,0.1,0.5,0.16666666666666669,312,941,1257,0.0,0.0,0.0,312,941,1,0.1,0.5,0.16666666666666669,27,1248,824,0.0,0.0,0.0
JacksonDatabind,59,1,21,not found,0.0,0.0,0.0,2,5,2316,0.0,0.0,0.0,2,5,2316,0.0,0.0,0.0,1,6,2316,0.0,0.0,0.0,1,6,2316,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,not found,0.0,0.0,0.0,,,,,,,2,5,2316,0.0,0.0,0.0,,,,,,,,,,,,,2.0,5.0,2316,0.0,0.0,0.0,1,6,2316,0.0,0.0,0.0,1,6,2328,0.0,0.0,0.0,,,,,,
JacksonDatabind,14,1,40,8,0.1,1.0,0.18181818181818182,439,936,1797,0.0,0.0,0.0,432,943,1790,0.0,0.0,0.0,27,1348,4304,0.0,0.0,0.0,1,1374,4304,0.0,0.0,0.0,3,1372,4304,0.0,0.0,0.0,1,1374,4304,0.0,0.0,0.0,10,1365,4304,0.0,0.0,0.0,10,1365,86,0.0,0.0,0.0,10,1365,86,0.0,0.0,0.0,10,1365,86,0.0,0.0,0.0,15,1360,203,0.0,0.0,0.0,5,1370,36,0.0,0.0,0.0,20,1355,361,0.0,0.0,0.0,15,1360,206,0.0,0.0,0.0,15,1360,4304,0.0,0.0,0.0,10,1365,4304,0.0,0.0,0.0,7.0,1368.0,4304,0.0,0.0,0.0,7.0,1368.0,4304,0.0,0.0,0.0,8.25,1366.75,510,0.0,0.0,0.0,404,971,1759,0.0,0.0,0.0,404,971,987,0.0,0.0,0.0,26,1370,4304,0.0,0.0,0.0
JacksonDatabind,15,8,9,3,0.1,0.125,0.11111111111111112,657,720,101,0.0,0.0,0.0,643,734,101,0.0,0.0,0.0,26,1351,605,0.0,0.0,0.0,1,1376,93,0.0,0.0,0.0,1,1376,93,0.0,0.0,0.0,3,1374,220,0.0,0.0,0.0,10,1367,10,0.1,0.125,0.11111111111111112,10,1367,2,0.1,0.125,0.11111111111111112,10,1367,2,0.1,0.125,0.11111111111111112,10,1367,3,0.2,0.25,0.22222222222222224,15,1362,2,0.1,0.125,0.11111111111111112,5,1372,2,0.2,0.25,0.22222222222222224,20,1357,3,0.1,0.125,0.11111111111111112,15,1362,2,0.1,0.125,0.11111111111111112,15,1362,9,0.1,0.125,0.11111111111111112,10,1367,73,0.0,0.0,0.0,3.6,1373.4,7,0.2,0.25,0.22222222222222224,3.6,1373.4,5,0.2,0.25,0.22222222222222224,60.22222222222222,1316.7777777777778,6,0.2,0.25,0.22222222222222224,640,737,101,0.0,0.0,0.0,640,737,104,0.0,0.0,0.0,25,1372,633,0.0,0.0,0.0
JacksonDatabind,9,2,0,not found,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1355,4298,0.0,0.0,0.0
Gson,5,1,55,15,0.0,0.0,0.0,672,1298,688,0.0,0.0,0.0,672,1298,688,0.0,0.0,0.0,8,1962,688,0.0,0.0,0.0,8,1962,688,0.0,0.0,0.0,6,1964,688,0.0,0.0,0.0,2,1968,688,0.0,0.0,0.0,20,1950,688,0.0,0.0,0.0,20,1950,34,0.0,0.0,0.0,20,1950,34,0.0,0.0,0.0,20,1950,34,0.0,0.0,0.0,30,1940,54,0.0,0.0,0.0,10,1960,32,0.0,0.0,0.0,40,1930,103,0.0,0.0,0.0,30,1940,33,0.0,0.0,0.0,30,1940,688,0.0,0.0,0.0,20,1950,688,0.0,0.0,0.0,19.5,1950.5,688,0.0,0.0,0.0,19.5,1950.5,688,0.0,0.0,0.0,58.0,1912.0,688,0.0,0.0,0.0,268,1702,688,0.0,0.0,0.0,268,1702,208,0.0,0.0,0.0,,,,,,
Gson,12,1,1,1,0.1,1.0,0.18181818181818182,,,,,,,,,,,,,9,1006,1,0.1,1.0,0.18181818181818182,9,1006,1,0.1,1.0,0.18181818181818182,3,1012,1,0.1,1.0,0.18181818181818182,9,1006,1,0.1,1.0,0.18181818181818182,9,1006,1,0.1,1.0,0.18181818181818182,9,1006,1,0.1,1.0,0.18181818181818182,9,1006,1,0.1,1.0,0.18181818181818182,9,1006,1,0.1,1.0,0.18181818181818182,9,1006,1,0.1,1.0,0.18181818181818182,5,1010,1,0.1,1.0,0.18181818181818182,9,1006,1,0.1,1.0,0.18181818181818182,9,1006,1,0.1,1.0,0.18181818181818182,9,1006,1,0.1,1.0,0.18181818181818182,9,1006,1,0.1,1.0,0.18181818181818182,9.0,1006.0,1,0.1,1.0,0.18181818181818182,9.0,1006.0,1,0.1,1.0,0.18181818181818182,9.0,1006.0,1,0.1,1.0,0.18181818181818182,8,1007,1,0.1,1.0,0.18181818181818182,8,1007,1,0.1,1.0,0.18181818181818182,,,,,,
Gson,8,1,2,2,0.1,1.0,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,989,2,0.1,1.0,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,989,not found,0.0,0.0,0.0,,,,,,
Codec,8,5,3,1,0.2,0.4,0.26666666666666666,36,258,1,0.2,0.4,0.26666666666666666,36,258,1,0.2,0.4,0.26666666666666666,4,290,3,0.2,0.4,0.26666666666666666,4,290,3,0.2,0.4,0.26666666666666666,3,291,3,0.2,0.4,0.26666666666666666,1,293,3,0.3,0.6,0.4,10,284,1,0.2,0.4,0.26666666666666666,10,284,1,0.3,0.6,0.4,10,284,1,0.3,0.6,0.4,10,284,1,0.3,0.6,0.4,15,279,1,0.3,0.6,0.4,5,289,1,0.3,0.6,0.4,20,274,1,0.3,0.6,0.4,15,279,1,0.3,0.6,0.4,15,279,1,0.2,0.4,0.26666666666666666,10,284,1,0.2,0.4,0.26666666666666666,1.3333333333333333,292.6666666666667,3,0.3,0.6,0.4,1.3333333333333333,292.6666666666667,3,0.3,0.6,0.4,1.3333333333333333,292.6666666666667,3,0.3,0.6,0.4,38,256,1,0.2,0.4,0.26666666666666666,38,256,1,0.3,0.6,0.4,,,,,,
